-0.059 288.6458333333
-0.069 288.6666666667
-0.08 288.6875
-0.088 288.7083333333
-0.094 288.7291666667
-0.095 288.75
-0.099 288.7708333333
-0.101 288.7916666667
-0.105 288.8125
-0.107 288.8333333333
-0.11 288.8541666667
-0.112 288.875
-0.114 288.8958333333
-0.113 288.9166666667
0.059 288.9375
0.225 288.9583333333
0.403 288.9791666667
0.553 289
0.588 289.0208333333
0.514 289.0416666667
0.398 289.0625
0.27 289.0833333333
0.145 289.1041666667
-0.014 289.125
-0.025 289.1458333333
-0.04 289.1666666667
-0.045 289.1875
-0.051 289.2083333333
-0.055 289.2291666667
-0.06 289.25
-0.062 289.2708333333
-0.064 289.2916666667
-0.065 289.3125
-0.065 289.3333333333
-0.068 289.3541666667
-0.07 289.375
-0.077 289.3958333333
-0.081 289.4166666667
0.037 289.4375
0.23 289.4583333333
0.424 289.4791666667
0.615 289.5
0.717 289.5208333333
0.665 289.5416666667
0.524 289.5625
0.375 289.5833333333
0.234 289.6041666667
0.101 289.625
