-0.067 287.6458333333
-0.076 287.6666666667
-0.083 287.6875
-0.089 287.7083333333
-0.094 287.7291666667
-0.1 287.75
-0.105 287.7708333333
-0.109 287.7916666667
-0.111 287.8125
-0.118 287.8333333333
-0.124 287.8541666667
-0.128 287.875
-0.129 287.8958333333
0.006 287.9166666667
0.129 287.9375
0.246 287.9583333333
0.326 287.9791666667
0.3 288
0.209 288.0208333333
0.117 288.0416666667
-0.017 288.0625
-0.048 288.0833333333
-0.065 288.1041666667
-0.074 288.125
-0.084 288.1458333333
-0.091 288.1666666667
-0.098 288.1875
-0.104 288.2083333333
-0.105 288.2291666667
-0.11 288.25
-0.114 288.2708333333
-0.117 288.2916666667
-0.12 288.3125
-0.124 288.3333333333
-0.126 288.3541666667
-0.133 288.375
-0.133 288.3958333333
0.089 288.4166666667
0.261 288.4375
0.466 288.4583333333
0.639 288.4791666667
0.697 288.5
0.617 288.5208333333
0.479 288.5416666667
0.337 288.5625
0.198 288.5833333333
0.067 288.6041666667
-0.041 288.625
